context,urgency,importance,risk,distance_from_human,distance_from_object,speed,comfort,bumping_human,bumping_object,predictability
A assistant robot is performing routine tasks in a restaurant.,55,75,25,70,70,60,70,30,65,80
A cleaning robot working in a home is looking for dirty spots to clean.,40,80,15,70,40,40,70,20,20,65
A cleaning robot working in a hospital is looking for dirty spots to clean.,60,85,45,25,75,70,70,5,15,85
A cleaning robot working in a library is looking for dirty spots to clean.,20,70,10,75,80,40,60,20,20,85
A cleaning robot working in a museum is looking for dirty spots to clean.,30,55,15,80,85,40,65,20,10,95
A cleaning robot working in a restaurant is looking for dirty spots to clean.,45,75,25,65,65,40,80,15,15,60
A cleaning robot working in a school is looking for dirty spots to clean.,60,80,15,65,30,45,65,15,15,70
A cleaning robot working in a store is looking for dirty spots to clean.,35,65,15,70,30,40,40,35,25,70
A cleaning robot working in a warehouse is looking for dirty spots to clean.,35,65,20,85,55,40,20,20,20,60
A delivery robot is navigating in a home.,45,70,30,70,60,40,70,10,15,75
A delivery robot is navigating in a home. It works with fragile objects.,65,75,35,75,85,30,70,15,10,80
A delivery robot is navigating in a hospital.,75,80,55,80,65,40,85,10,10,90
A delivery robot is navigating in a hospital. It works with fragile objects.,85,90,55,85,75,25,80,15,0,85
A delivery robot is navigating in a library.,30,65,15,80,70,35,85,15,10,85
A delivery robot is navigating in a library. It works with fragile objects.,25,85,15,75,85,20,80,5,5,85
A delivery robot is navigating in a museum.,40,65,35,70,85,35,70,10,5,85
A delivery robot is navigating in a museum. It works with fragile objects.,50,95,70,85,75,15,85,15,5,85
A delivery robot is navigating in a restaurant.,60,78,25,75,75,65,80,20,20,85
A delivery robot is navigating in a restaurant. It works with fragile objects.,70,80,35,65,80,25,80,15,0,90
A delivery robot is navigating in a school.,40,60,20,85,65,35,70,15,15,85
A delivery robot is navigating in a school. It works with fragile objects.,65,78,45,80,70,35,60,10,10,70
A delivery robot is navigating in a store.,35,70,25,65,60,70,60,0,20,85
A delivery robot is navigating in a store. It works with fragile objects.,65,85,35,70,15,25,75,15,5,87
A delivery robot is navigating in a warehouse.,50,70,32,70,70,65,25,15,55,85
A delivery robot is navigating in a warehouse. It works with fragile objects.,65,75,38,60,70,35,60,15,15,80
A drug delivery robot is working in a hospital.,80,90,20,70,90,65,75,10,10,75
"A home robot is looking for a fire extinguisher, as it just detected a fire.",99,95,85,80,80,90,20,90,75,80
"A hospital assistant robot has been asked to go to the goal, with no additional context.",50,60,20,70,50,50,60,20,10,75
A hospital assistant robot is asked to collect an object,65,65,15,85,75,55,80,25,10,90
A hospital assistant robot is delivering an object,75,85,15,60,85,50,80,15,10,90
"A hospital robot is looking for a fire extinguisher, as it just detected a fire.",99,95,85,30,90,90,15,95,90,10
A hotel robot is inspecting the floor to ensure it's safe to walk.,75,95,15,70,80,35,80,20,20,85
A hotel robot is inspecting the foor to ensure it's safe to walk.,70,85,20,50,5,25,80,10,5,85
A house assistant robot is asked to collect an object,30,75,15,70,70,55,70,30,20,75
A house assistant robot is delivering an object,40,70,15,40,70,60,60,20,20,70
A human asks a hospital assistant robot to go to the goal shown.,85,85,45,75,60,70,80,10,40,85
A human asks a in-restaurant service robot to go to the goal shown.,60,70,15,35,40,60,70,30,40,70
A human asks a last-mile delivery robot to go to the goal shown.,60,85,32,60,60,60,60,20,20,70
A human asks a museum guide robot to go to the goal shown.,50,75,20,50,20,60,65,15,25,75
A human asks a school guide robot to go to the goal shown.,50,55,20,75,40,60,80,15,30,75
A in-restaurant service robot is asked to collect an object,55,50,25,40,65,70,60,30,30,75
A in-restaurant service robot is delivering an object,60,75,45,25,70,55,65,5,15,75
A lab assistant robot is looking for potential hazards in its environment.,85,95,47,80,75,15,75,15,75,85
A last-mile delivery robot is asked to collect an object,50,70,20,50,75,70,65,25,30,60
A last-mile delivery robot is delivering an object,40,70,20,40,75,60,70,10,15,85
"A library robot is looking for a fire extinguisher, as it just detected a fire.",98,100,85,75,95,90,95,80,90,80
"A museum guide robot has been asked to go to the goal shown, with no additional context.",40,70,5,50,50,50,50,15,50,65
A museum guide robot is asked to collect an object,40,70,40,70,70,40,40,15,30,65
A museum guide robot is delivering an object,45,72,75,60,70,50,75,20,10,75
"A museum robot is looking for a fire extinguisher, as it just detected a fire.",95,95,75,15,90,90,10,85,95,45
A museum robot roams around looking for people interested in its services.,30,70,20,70,65,40,70,10,20,75
"A restaurant robot is looking for a fire extinguisher, as it just detected a fire.",100,98,85,70,20,100,90,75,85,85
A robot is moving in home to find a user who may want to assign it to a task.,40,75,15,25,65,40,70,20,20,70
A robot is moving in hospital to find a user who may want to assign it to a task.,40,85,15,70,20,45,75,20,20,75
A robot is moving in library to find a user who may want to assign it to a task.,40,65,10,20,75,20,80,10,20,75
A robot is moving in museum to find a user who may want to assign it to a task.,20,55,20,65,65,55,65,20,5,75
A robot is moving in restaurant to find a user who may want to assign it to a task.,30,75,20,75,65,45,70,20,10,70
A robot is moving in school to find a user who may want to assign it to a task.,45,65,15,40,75,40,65,30,30,80
A robot is moving in store to find a user who may want to assign it to a task.,40,60,10,45,70,45,75,15,15,70
A robot is moving in warehouse to find a user who may want to assign it to a task.,45,60,15,40,70,70,40,15,20,65
